Feature	Description	Type	Context	MD_101	MD_102	MD_103	MD_104	MD_11	MD_110.1	MD_111.1	MD_112.1	MD_113	MD_114	MD_116	MD_118	MD_119	MD_120	MD_121	MD_122	MD_125	MD_127	MD_129.1	MD_131.1	MD_133.1	MD_134	MD_135	MD_137.1	MD_138	MD_142.1	MD_144	MD_146	MD_149	MD_15	MD_151	MD_153	MD_154	MD_155	MD_156	MD_158	MD_159	MD_161	MD_162	MD_164	MD_165	MD_166	MD_167	MD_170	MD_171	MD_172	MD_174	MD_175	MD_180	MD_181	MD_182	MD_183	MD_184	MD_185	MD_186	MD_187	MD_188	MD_189	MD_190	MD_191	MD_192	MD_195	MD_196	MD_197	MD_198	MD_199	MD_200	MD_202	MD_203	MD_223	MD_270	MD_271.1	MD_28	MD_31	MD_32	MD_39	MD_40	MD_41	MD_42	MD_43	MD_5	MD_6	MD_75	MD_77	MD_79	MD_83	MD_86.1	MD_87	MD_89	MD_90	MD_91	MD_94	MD_96.1	MD_98	MD_147	MD_53
RELAPSE	target	discrete		N	Y	N	Y	Y	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	N	Y	Y	N	Y	Y	N	Y	N	Y	Y	N	N	Y	N	Y	N	Y	N	Y	Y	N	N	Y	Y	N	N	Y	N	N	Y	Y	N	Y	N	Y	N	N	N	N	Y	N	N	Y	Y	N	Y	Y	Y	N	N	N	N	Y	N	Y	Y	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	Y	Y	N
STATUS		discrete		A	A	A	D	D	D	A	A	NA	A	A	D	A	A	A	A	D	A	A	A	A	A	A	A	D	A	A	D	D	A	A	A	A	D	A	A	D	A	D	A	D	A	A	D	A	A	D	A	A	A	D	A	A	D	D	A	D	A	A 	A	A	A	A	D	A	A	D	A 	A	D	D	NA	A	A	A	A	A	A	D	D	A	A	A	D	D	A	A	A	A	A	D	A	A	D	D	A
SURVIVAL		discrete		120	109	103	27	12.95	18	86	90	33	114	92	80	84	78	79	80	38	71	52	50	53	53	47	44	17	45	30	69	118	48.79	60	60	133	27	78	73	21	75	41	36	64	65	90	72	46	66	4	33	70	64	36	83	77	42	16	69	6	61	60	56	57	45	43	9	40	39	32	32	31	8	NA	NA	45.37	46.46	49.05	35	45	44.62	9.04	38.31	58.71	48.56	35.35	12.95	9.4	132	82	186	80	61	39	103	141	7	14	39.33
HISTO		discrete		DESMO	DESMO	DESMO	CLASSIC	LCA	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	DESMO	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	DESMO	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	LCA	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	LCA	CLASSIC	CLASSIC	LCA	CLASSIC	CLASSIC	CLASSIC	CLASSIC	LCA	LCA	CLASSIC	CLASSIC	LCA	CLASSIC	CLASSIC	CLASSIC	DESMO	CLASSIC	CLASSIC	DESMO	CLASSIC	DESMO	LCA	LCA	LCA	LCA	DESMO	CLASSIC	DESMO	NA	DESMO	CLASSIC	CLASSIC	CLASSIC	DESMO	LCA	CLASSIC	CLASSIC	LCA	CLASSIC	CLASSIC	LCA	CLASSIC	LCA	CLASSIC	NA	DESMO	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	CLASSIC	LCA	CLASSIC
MET		discrete		N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	NA	N	NA	NA	NA	NA	NA	N	N	N	Y	N	N	N	N	Y	Y	Y	N	N	N	N	Y	N	Y	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	NA	NA	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N
YU_CMYC		discrete		L	H	L	H	H	L	L	L	H	L	L	L	L	L	L	H	L	L	L	H	H	L	L	L	L	H	H	L	H	L	L	H	L	H	H	H	H	L	H	L	H	H	H	H	L	H	L	H	H	H	H	L	L	H	H	L	L	H	H	L	L	L	H	H	H	H	L	L	L	L	L	H	H	L	H	H	L	L	H	L	L	L	L	H	L	L	L	L	H	L	H	L	L	H	L	L
TRANSLATION_FACTORS		discrete		L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	H	L	L	L	L	L	L	H	L	L	H	H	L	H	L	L	L	L	L	L	L	L	H	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	H	L	L	L	L	L
BRCA_BRCA1_POS		discrete		L	H	L	H	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	H	H	L	L	L	L	L	H	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H
FLUMAZENILPATHWAY		discrete		L	L	L	H	L	L	L	L	L	L	L	L	L	H	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	L	L	H	H	L	L	H	H	L	L	L	L	L	L	L	L	L	L	H	H	L	L	H	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	H	L	L
AGUIRRE_PANCREAS_CHR8		discrete		L	L	L	L	L	L	L	L	L	L	L	L	L	H	H	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	H	L	H	L	L	L	L	L	L	H	L	H	L	L	H	L	L	L	L	L	L	L	L	L	L	L	L	H	H	H	L	L	L	L	L	H	H	L	L	L	L	L	H	L	L	L	L	L	L	L	L	L	L	L	H	L
